t dt Rul5P PEP P2f Rib5P P2NADP NADPf NADH P2NADPH P1NADPH NAD Mgf Xul5P Phi MgATP Pyr MgAMP AMPf Gri2P Gri23P2f Sed7P ATPf Gri13P2 Lac GraP GlcA6P Glc6P E4P GSH DHAP Fru16P2 MgADP GSSG NADPHf Fru6P P1NADP Gri3P MgGri23P2 P1f Glcin ADPf
0.0103467 1.28e-06 0.00509602 0.0105334 0.00571163 0.0148434 0.0240816 4.14235e-05 0.000153067 0.0142067 0.0429762 0.0653469 0.559519 0.0137493 1.00722 1.48193 0.0840025 0.0018847 0.0554554 0.00769966 1.9175 0.0158279 0.190714 0.000494605 1.68022 0.00604029 0.0250037 0.0435449 0.00611836 3.11262 0.148651 0.0087979 0.123232 0.000888717 0.000511279 0.016988 0.000182733 0.0587255 0.643438 0.000841074 4.56607 0.166788
0.0115352 1.28e-06 0.00512603 0.0105333 0.00574339 0.0149372 0.0235886 4.0361e-05 0.000153072 0.014668 0.0430057 0.0653469 0.559724 0.0138308 1.0073 1.48124 0.084001 0.00189366 0.0557064 0.00769108 1.91737 0.0159174 0.190557 0.000492563 1.68022 0.00601512 0.025022 0.0438999 0.00608298 3.11257 0.14803 0.00874654 0.12351 0.000916333 0.000524077 0.0171254 0.000173225 0.0586386 0.643629 0.000821052 4.56611 0.16709
0.0127809 6.4e-07 0.00515658 0.0105349 0.00577454 0.0150329 0.0230898 3.93045e-05 0.000153076 0.0151357 0.0430339 0.0653469 0.559945 0.0139138 1.00738 1.48051 0.0839996 0.00190339 0.0559758 0.00768406 1.91723 0.0160132 0.190388 0.000490539 1.68022 0.00599018 0.025043 0.0442479 0.00604869 3.11252 0.147415 0.00869685 0.123807 0.000940554 0.000537004 0.0172599 0.000164336 0.0585639 0.643833 0.000801773 4.56617 0.167414
0.0140187 6.4e-07 0.00518598 0.0105378 0.00580354 0.0151253 0.0226116 3.83078e-05 0.000153081 0.0155849 0.0430595 0.0653469 0.560169 0.0139937 1.00745 1.47977 0.0839984 0.00191333 0.0562494 0.00767881 1.91709 0.0161097 0.190217 0.000488638 1.68022 0.00596686 0.0250655 0.0445705 0.00601758 3.11248 0.14684 0.00865169 0.124108 0.000960259 0.000549378 0.0173845 0.000156349 0.0585049 0.644039 0.000784148 4.56623 0.167742
0.0152731 1.28e-06 0.0052148 0.0105416 0.00583115 0.0152163 0.0221439 3.73471e-05 0.000153088 0.016025 0.0430834 0.0653469 0.560401 0.0140719 1.00751 1.47901 0.0839973 0.00192363 0.0565323 0.00767505 1.91694 0.0162082 0.19004 0.000486817 1.68022 0.00594469 0.0250897 0.0448749 0.00598905 3.11245 0.146293 0.00861018 0.124418 0.000976228 0.000561464 0.0175021 0.000148971 0.0584594 0.644252 0.000767665 4.56631 0.168081
0.0164936 6.4e-07 0.00524186 0.0105459 0.00585645 0.015302 0.0217044 3.64561e-05 0.000153099 0.0164392 0.0431048 0.0653469 0.560631 0.0141453 1.00755 1.47825 0.0839963 0.00193385 0.0568127 0.00767274 1.91678 0.0163043 0.189865 0.000485143 1.68022 0.00592452 0.0251144 0.0451506 0.00596409 3.11242 0.145795 0.00857384 0.124723 0.000988294 0.000572807 0.0176085 0.000142392 0.0584279 0.644463 0.000752813 4.56639 0.168415
0.0176184 2.56e-06 0.00526593 0.0105502 0.00587853 0.0153787 0.0213122 3.56704e-05 0.000153112 0.0168092 0.0431232 0.0653469 0.560846 0.0142106 1.00758 1.47754 0.0839955 0.00194343 0.057075 0.00767169 1.91664 0.0163926 0.189702 0.000483683 1.68022 0.00590712 0.0251381 0.0453874 0.00594343 3.11241 0.145365 0.00854381 0.125008 0.000996703 0.000582915 0.0176998 0.00013679 0.0584095 0.644659 0.000740055 4.56647 0.168728
0.0188616 2.56e-06 0.00529155 0.0105553 0.00590167 0.0154607 0.0208925 3.48385e-05 0.000153131 0.0172058 0.0431421 0.0653469 0.561087 0.0142801 1.00761 1.47675 0.0839946 0.00195419 0.0573689 0.00767167 1.91647 0.0164896 0.18952 0.000482158 1.68022 0.0058892 0.025165 0.0456308 0.00592307 3.11239 0.144923 0.00851438 0.125326 0.00100331 0.000593719 0.0177936 0.000131054 0.0584003 0.644878 0.000726888 4.56657 0.169077
0.0201816 2.56e-06 0.0053176 0.0105609 0.00592491 0.0155446 0.0204619 3.39944e-05 0.000153155 0.0176132 0.0431607 0.0653468 0.561347 0.0143507 1.00763 1.47591 0.0839937 0.00196577 0.0576849 0.00767285 1.91629 0.0165917 0.189324 0.000480639 1.68022 0.00587165 0.0251944 0.045869 0.00590413 3.11238 0.14449 0.00848734 0.125666 0.00100759 0.000604789 0.0178852 0.00012543 0.0584027 0.645114 0.000713874 4.56668 0.169452
0.0215016 2.56e-06 0.00534245 0.0105667 0.0059469 0.0156251 0.020046 3.31876e-05 0.000153184 0.0180071 0.043178 0.0653468 0.561609 0.0144181 1.00764 1.47505 0.0839929 0.0019775 0.0580043 0.0076752 1.91611 0.0166923 0.189126 0.000479218 1.68022 0.00585557 0.0252243 0.0460872 0.00588777 3.11238 0.144093 0.00846448 0.126008 0.00100945 0.000615466 0.0179691 0.000120234 0.0584171 0.645351 0.000701755 4.56679 0.16983
0.0228216 2.56e-06 0.0053661 0.0105726 0.00596774 0.0157022 0.0196441 3.24155e-05 0.000153217 0.0183882 0.0431941 0.0653468 0.561873 0.0144821 1.00763 1.4742 0.0839921 0.00198936 0.0583265 0.00767865 1.91592 0.0167913 0.188927 0.000477895 1.68022 0.00584093 0.0252547 0.0462863 0.00587381 3.11238 0.143732 0.00844567 0.126352 0.00100921 0.00062577 0.0180455 0.000115419 0.0584428 0.64559 0.000690444 4.56692 0.17021
0.0241416 2.56e-06 0.00538855 0.0105786 0.00598753 0.015776 0.0192554 3.16756e-05 0.000153255 0.018757 0.0432092 0.0653467 0.562139 0.0145429 1.00762 1.47333 0.0839913 0.00200131 0.0586509 0.00768312 1.91572 0.0168882 0.188727 0.000476666 1.68022 0.00582769 0.0252854 0.0464671 0.0058621 3.11239 0.143405 0.00843075 0.126696 0.00100719 0.00063572 0.0181148 0.000110945 0.0584791 0.645831 0.000679863 4.56705 0.170592
0.0254616 2.56e-06 0.00540978 0.0105847 0.00600635 0.0158462 0.0188795 3.0966e-05 0.000153298 0.0191142 0.0432233 0.0653467 0.562407 0.0146004 1.00759 1.47247 0.0839906 0.00201335 0.0589768 0.00768857 1.91553 0.0169829 0.188527 0.000475528 1.68022 0.00581581 0.0253164 0.0466303 0.00585249 3.11239 0.143112 0.00841956 0.12704 0.00100367 0.000645332 0.0181772 0.000106777 0.0585256 0.646072 0.000669944 4.56718 0.170975
0.0267816 2.56e-06 0.0054298 0.0105907 0.00602428 0.015913 0.0185156 3.02847e-05 0.000153344 0.0194601 0.0432365 0.0653467 0.562674 0.0146546 1.00755 1.4716 0.0839899 0.00202543 0.0593037 0.00769492 1.91533 0.0170752 0.188326 0.000474478 1.68023 0.00580523 0.0253474 0.0467767 0.00584483 3.1124 0.142851 0.00841196 0.127384 0.000998917 0.000654622 0.018233 0.000102885 0.0585816 0.646313 0.000660629 4.56732 0.171357
0.0281016 2.56e-06 0.00544863 0.0105967 0.00604137 0.0159764 0.0181632 2.963e-05 0.000153394 0.0197954 0.0432489 0.0653466 0.562942 0.0147055 1.0075 1.47074 0.0839893 0.00203755 0.0596309 0.00770212 1.91513 0.0171647 0.188126 0.000473515 1.68023 0.00579593 0.0253784 0.0469068 0.005839 3.11241 0.142621 0.00840778 0.127727 0.000993139 0.000663605 0.0182825 9.92434e-05 0.0586467 0.646554 0.000651864 4.56746 0.17174
0.0294216 2.56e-06 0.00546626 0.0106027 0.00605769 0.0160362 0.0178219 2.90003e-05 0.000153448 0.0201204 0.0432606 0.0653466 0.56321 0.0147532 1.00745 1.46988 0.0839887 0.00204969 0.0599578 0.00771013 1.91493 0.0172514 0.187927 0.000472634 1.68023 0.00578784 0.0254093 0.0470215 0.00583488 3.11243 0.142422 0.00840686 0.128067 0.00098654 0.000672295 0.018326 9.58291e-05 0.0587203 0.646795 0.000643604 4.56761 0.17212
0.0307416 2.56e-06 0.00548271 0.0106086 0.00607329 0.0160926 0.0174912 2.83942e-05 0.000153506 0.0204355 0.0432716 0.0653465 0.563477 0.0147977 1.00738 1.46902 0.0839881 0.00206181 0.060284 0.00771888 1.91473 0.0173351 0.187728 0.000471835 1.68023 0.00578094 0.02544 0.0471212 0.00583235 3.11244 0.142252 0.00840906 0.128406 0.000979294 0.000680704 0.0183636 9.26219e-05 0.0588019 0.647034 0.000635808 4.56776 0.172499
