Rho Pvalue Target
0.420995475113122 0.00227758717007132 vatpase-vox-vbpgsp7
0.324977375565611 0.020392416408597 vlactransport-vbpgsp4-vr5pi
0.258914027149321 0.0667885624103352 vmgfru16p2-vpyrtransport-vp6gdh
0.202533936651584 0.153713817756757 vpglhydrolysis-vmgadp-vru5pe
0.186334841628959 0.189920638246837 vbpgsp8-vhbb13pg-vhbadp
0.31710407239819 0.023791195212412 vhbadp-vgssgr-vru5pe
0.29420814479638 0.0365074216130846 vbpgsp3-vpglhydrolysis-veno
0.32579185520362 0.0200656658013497 vtk5-vlactransport-vtk3
0.277194570135747 0.0492521786739289 vpglhydrolysis-vtk6-vpgm
0.321447963800905 0.021861150562204 vr5pi-vp6gdh-vlactransport
0.252126696832579 0.0744562263673372 voxnadh-vhbadp-vtk6
0.233212669683258 0.0995650866125728 vmgadp-vmgphos-vhk
0.334751131221719 0.0167558297020887 vbpgsp3-vak-vox
0.190316742081448 0.180499083987774 vbpgsp1-voxnadh-vpyrtransport
0.308868778280543 0.0278473110244465 vbpgsp3-vox-vbpgsp6
0.219819004524887 0.121018387457369 vbpgsp6-vbpgsp1-voxnadh
0.199909502262443 0.159202787295317 vak-vmgphos-voxnadh
0.312579185520362 0.025953066933109 vtk1-vbpgsp4-veno
0.32579185520362 0.0200656658013497 vlactransport-vtk6-vr5pi
0.189411764705882 0.182609978539957 vldhp-vmgadp-vmgphos
0.304253393665158 0.0303646077133139 vpgk-vtk6-vpfk
0.286515837104072 0.0418813386826141 vldh-vg6pdh-vmgphos
0.267963800904977 0.0575661873340568 vtk5-vpfk-vpk
0.223619909502262 0.114600237539112 vhbmgatp-vpfk-vbpgsp9
0.216470588235294 0.126896819168455 vhbmgatp-vtk4-vpyrtransport
0.275475113122172 0.0507215235664827 vgpi-vtk2-vbpgsp8
0.211402714932127 0.136203266028986 vbpgsp8-vbpgsp3-vmgb23pg
0.321176470588235 0.0219777573763705 vbpgsp3-vtk6-vlactransport
0.257556561085973 0.0682690370332442 vhbb13pg-voxnadh-vru5pe
0.340904977375566 0.0147634583126763 vg6pdh-vbpgsp5-vru5pe
0.167511312217195 0.239253098728135 vmgadp-vtk3-vtk4
0.229321266968326 0.105467507316432 vbpgsp1-vmgadp-vpgm
0.256561085972851 0.0693713661755967 vmgb13pg-vpgm-vhbadp
0.274932126696833 0.0511929036953618 vhk-vtk2-vbpgsp9
0.261990950226244 0.0635282795080013 vtk2-vldhp-vox
0.118552036199095 0.406209646491311 vmgadp-vtk6-vmgglc16p2
0.287149321266968 0.0414154106876991 veno-vhbmgatp-vgapdh
0.273212669683258 0.0527092735362666 vmgadp-vpfk-vhbmgatp
0.207239819004525 0.144225330745718 vtk1-vta-vru5pe
0.195475113122172 0.168804171561821 vtk6-vmgadp-vbpgsp8
0.20289592760181 0.152967882884514 vta-vmgb13pg-vmgb23pg
0.226606334841629 0.109743479711324 vbpgsp5-vbpgsp8-vhk
0.291764705882353 0.0381485126165316 veno-vtk5-vhbadp
0.257285067873303 0.0685682686796268 vtk5-vtk3-vbpgsp4
0.304343891402715 0.0303134753925301 vatpase-vbpgsp5-vmgb23pg
0.336561085972851 0.0161472509040223 vmgb13pg-vldh-vtk1
0.190859728506787 0.17924107390513 vbpgsp9-vmgglc16p2-vbpgsp4
0.308778280542986 0.0278949273330644 vmgadp-vtk2-vbpgsp3
0.213755656108597 0.131820401604976 vpk-vpyrtransport-vmgatp
0.232941176470588 0.0999683484458754 voxnadh-vbpgsp3-vg6pdh
0.188054298642534 0.185809744181611 vtk4
0.247963800904977 0.0794961662456924 vtk2-vmgb13pg-vpyrtransport
0.301085972850679 0.0322003252554958 vbpgsp4-vgssgr-vtpi
0.206425339366516 0.145835401066198 vbpgsp1-vtk3-vhbadp
0.22579185520362 0.111052013320281 vbpgsp9-vpfk-vbpgsp5
