Rho Pvalue Target
0.487955182072829 0.00327872443000296 v_9-v_16-v_21-v_26
-0.348739495798319 0.0406794503770863 v_16-v_27-v_35-v_30
-0.211764705882353 0.221132704495812 v_24-v_21-v_2-v_25
0.233053221288515 0.17731228694754 v_13-v_26-v_24-v_1
-0.0282913165266106 0.871768716495731 v_23-v_12-v_11-v_18
0.40140056022409 0.0175010387049089 v_7-v_1-v_12-v_11
-0.144257703081233 0.406867519708179 v_24-v_25-v_21-v_4
-0.161904761904762 0.351372763649372 v_24-v_35-v_22-v_3
0.0899159663865546 0.606241281216863 v_24-v_1-v_37-v_26
-0.198039215686275 0.253067773275075 v_22-v_6-v_28-v_15
0.425210084033613 0.0114707554950094 v_9-v_37-v_6-v_18
-0.247619047619048 0.151170763115873 v_22-v_13-v_18-v_29
-0.382352941176471 0.0240777053202935 v_37-v_19-v_1
0.420448179271709 0.0125092460838412 v_17-v_10-v_6-v_11
-0.213725490196078 0.216809305451522 v_26-v_18-v_5-v_22
-0.413725490196078 0.0141109316181173 v_30-v_2-v_15-v_37
0.128571428571429 0.46018144682674 v_33-v_2-v_4-v_30
0.468067226890756 0.00499127802482532 v_9-v_7-v_4-v_30
0.205882352941176 0.234459484958973 v_25-v_23-v_11-v_16
0.48375350140056 0.00358999658012448 v_13-v_1-v_14-v_10
0.478991596638656 0.00397365495686731 v_9-v_11-v_3-v_29
0.30812324929972 0.0721170868206885 v_26-v_4-v_30-v_9
0.303081232492997 0.0770892415675529 v_4-v_6-v_14-v_32
0.359103641456583 0.0347818321425486 v_10-v_28-v_29-v_1
-0.335854341736695 0.0491247025899738 v_37-v_12-v_15-v_25
0.354341736694678 0.0373976918735588 v_16-v_29-v_5-v_30
0.492156862745098 0.0029912886395657 v_8-v_14-v_6-v_9
-0.128011204481793 0.462152717329324 v_15-v_35-v_26-v_5
0.10952380952381 0.529688708297216 v_3-v_22-v_4-v_27
0.293837535014006 0.0869006353667578 v_26-v_12-v_18-v_10
-0.261904761904762 0.128399010816934 v_15-v_14-v_20-v_29
0.204761904761905 0.237058879999589 v_30-v_33-v_7-v_16
0.497478991596639 0.00265900286725612 v_10-v_35-v_11-v_2
-0.0935574229691877 0.591668267719617 v_3-v_19-v_2
0.25546218487395 0.138327277283924 v_33-v_24-v_4-v_5
0.175350140056022 0.312371915970549 v_24-v_5-v_14-v_23
0.219887955182073 0.203604865758351 v_27-v_21-v_1-v_13
-0.104201680672269 0.549989783807342 v_18-v_23-v_3-v_4
0.328291316526611 0.0547081616524815 v_15-v_9-v_21-v_12
0.391316526610644 0.0207634337378871 v_26-v_10-v_3-v_14
-0.320728291316527 0.0607907067709677 v_25-v_18-v_22-v_26
0.108963585434174 0.531808202749822 v_20-v_24-v_32-v_12
0.48375350140056 0.00358999658012448 v_16-v_15-v_9-v_2
-0.318207282913165 0.062934190201558 v_4-v_25-v_18-v_24
0.288235294117647 0.0933038324413882 v_7-v_8-v_32-v_11
-0.135014005602241 0.437841490303237 v_10-v_23-v_19-v_32
0.48515406162465 0.00348349151096458 v_29-v_12-v_9-v_5
0.0260504201680672 0.881900685007128 v_25-v_17-v_4-v_22
0.27563025210084 0.109041878544348 v_23-v_5-v_37-v_6
-0.0310924369747899 0.85913247362029 v_22-v_25-v_20-v_10
0.00868347338935574 0.960935789535105 v_4-v_21-v_24-v_35
-0.23249299719888 0.178378784282226 v_26-v_27-v_23-v_24
0.267787114845938 0.119809760209567 v_24-v_11-v_12-v_2
0.281512605042017 0.101462792540202 v_29-v_4-v_6-v_19
0.240616246498599 0.163360646515291 v_24-v_13-v_1
-0.268067226890756 0.119411857395437 v_22-v_29-v_32-v_30
0.243137254901961 0.158892552933123 v_5-v_33-v_1-v_27
0.282072829131653 0.100762634517422 v_26-v_8-v_32-v_9
-0.242857142857143 0.159384552732234 v_37-v_24-v_22-v_29
-0.231652661064426 0.179987155699161 v_15-v_33-v_3-v_37
-0.347899159663866 0.041191402809162 v_35-v_25-v_18-v_12
-0.250700280112045 0.146024458242302 v_18-v_26-v_32
0.24733893557423 0.15164513692842 v_18-v_35-v_3-v_10
-0.319887955182073 0.0614986240300398 v_24-v_35-v_9-v_15
0.243137254901961 0.158892552933123 v_17-v_1-v_4-v_25
0.417366946778712 0.0132230164620788 v_4-v_2-v_29-v_8
0.379551820728291 0.0251997983203775 v_23-v_9-v_13-v_14
0.0341736694677871 0.84527288335237 v_22-v_4-v_29-v_25
0.0994397759103642 0.568462024146412 v_1-v_26-v_30-v_7
0.237535014005602 0.168944919435574 v_35-v_8-v_32-v_29
-0.342016806722689 0.0449241086463201 v_25-v_13-v_30-v_35
0.454341736694678 0.00658459730282557 v_5-v_6-v_28-v_10
-0.231652661064426 0.179987155699161 v_19-v_30-v_10-v_6
-0.509803921568628 0.00201072672407291 v_30-v_19-v_22-v_27
0.0739495798319328 0.6718794227766 v_32-v_35-v_26-v_21
0.43921568627451 0.00883191993555131 v_10-v_15-v_29-v_9
-0.259663865546219 0.131789791269625 v_28-v_19-v_23-v_26
-0.215406162464986 0.213150552756988 v_19-v_17-v_25-v_13
-0.29047619047619 0.0907001092053376 v_17-v_37-v_15-v_29
0.363025210084034 0.0327423277210587 v_1-v_12-v_20-v_35
0.0915966386554622 0.59949598390051 v_28-v_18-v_1-v_6
-0.281792717086835 0.101112247896341 v_29-v_37-v_32-v_19
-0.19187675070028 0.26836743609587 v_27-v_5-v_17-v_15
-0.120728291316527 0.488188941844132 v_2-v_25-v_22
-0.0151260504201681 0.931532461729316 v_16-v_23-v_20-v_22
-0.458263305322129 0.00608986989450013 v_27-v_35-v_20-v_21
0.346498599439776 0.0420563335892922 v_37-v_13-v_11-v_29
0.0282913165266106 0.871768716495731 v_19-v_14-v_21-v_7
0.225490196078431 0.192100487258093 v_7-v_1-v_3-v_18
0.384873949579832 0.0231037798234089 v_16-v_5-v_14-v_33
0.154901960784314 0.372815025940184 v_1-v_23-v_33
-0.315966386554622 0.0648896789619638 v_21-v_20
-0.470588235294118 0.0047382876292514 v_20-v_15-v_18-v_21
0.492156862745098 0.0029912886395657 v_9-v_8-v_14-v_5
0.342857142857143 0.0443746269029112 v_8-v_16-v_13-v_27
-0.0123249299719888 0.944307716608185 v_28-v_12-v_17-v_15
-0.429411764705882 0.0106164357085896 v_18-v_5-v_15-v_24
0.48375350140056 0.00358999658012448 v_10-v_2-v_15-v_16
0.13109243697479 0.451367216102711 v_3-v_33-v_26-v_23
0.217647058823529 0.208339456769192 v_2-v_37-v_26-v_28
0.184593837535014 0.287224224764475 v_26-v_24-v_16-v_37
0.33781512605042 0.0477550364341488 v_1-v_18-v_10
0.0112044817927171 0.949421876148266 v_12-v_30-v_6-v_23
-0.420728291316527 0.0124460165564327 v_16-v_19-v_22-v_15
-0.361064425770308 0.0337493925348259 v_3-v_23-v_19-v_37
0.334173669467787 0.0503238309385972 v_12-v_7-v_16-v_24
0.120448179271709 0.489205357031729 v_37-v_14-v_18-v_5
-0.215966386554622 0.211940585762176 v_25-v_17-v_27-v_37
0.500280112044818 0.00249746518722228 v_10-v_11-v_20-v_2
-0.0607843137254902 0.727911919071282 v_14-v_12-v_22-v_15
0.269747899159664 0.11704538574183 v_12-v_29-v_33-v_3
