g 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40
1100 4.2949e-13 3.72393e-13 3.89e-10 1.825e-11 3.36651e-15 6.43397e-13 3.11622e-13 0 1.29231e-16 9.49922e-14 3.81314e-16 1.49214e-12 2.30316e-12 9.16e-14 1.13611e-10 2.12827e-12 1.72992e-11 2.14446e-06 1.10308e-11 4.62378e-17 3.8761e-10 1.13746e-10 4.17928e-10 3.17758e-14 3.18139e-14 7.54542e-13 3.84415e-16 2.20651e-18 7.73166e-15 7.56859e-15 1.51868e-15 7.91587e-13 7.31329e-13 3.40573e-13 1.38435e-10 3.19032e-10 3.8709e-15 8.49697e-13 9.92614e-16 9.61327e-13
1200 2.51062e-12 1.36882e-13 2.14014e-11 8.47097e-12 2.59307e-16 1.66221e-12 3.44189e-11 0 3.63716e-17 3.52256e-11 1.82471e-16 6.14264e-12 9.07436e-14 2.56914e-14 2.48459e-09 5.18822e-13 5.41218e-12 2.21645e-12 6.36147e-12 2.27763e-14 2.54015e-11 2.48476e-09 1.99582e-09 1.74999e-14 1.75333e-14 3.35527e-16 6.85839e-16 3.41736e-19 2.64112e-16 2.49151e-16 2.72888e-15 1.34772e-15 2.48932e-16 6.98243e-13 6.0385e-12 2.35944e-12 2.95651e-15 8.26992e-16 9.91503e-16 1.25868e-15
1300 1.1011e-11 2.792e-12 1.47486e-08 2.25263e-12 1.22802e-15 4.48778e-13 1.28115e-10 0 1.89475e-16 1.31668e-10 7.29126e-16 0 4.09094e-14 1.91486e-14 4.16576e-10 1.4052e-13 2.42815e-12 3.37421e-07 2.32836e-12 9.85133e-16 1.42481e-08 4.16578e-10 1.27465e-08 1.21821e-14 1.22016e-14 1.45292e-13 2.78602e-15 1.30523e-18 4.88325e-16 4.78627e-16 1.0948e-14 1.57793e-13 1.41724e-13 3.27938e-13 4.07893e-11 4.79743e-10 1.58146e-13 3.75891e-14 4.60073e-15 4.26997e-14
1400 1.12688e-09 1.08756e-09 1.84633e-10 1.39266e-11 7.68966e-14 7.06337e-13 3.64745e-13 0 8.42483e-17 8.31932e-14 1.72388e-16 1.42109e-13 2.00517e-13 1.98227e-13 2.14934e-08 1.41696e-12 1.96792e-11 7.09921e-12 1.03726e-09 1.75802e-14 1.15948e-09 2.14935e-08 1.72777e-08 3.24272e-14 3.24046e-14 4.75955e-13 3.64529e-16 2.09323e-19 3.11708e-16 3.07648e-16 1.49836e-15 5.05844e-13 4.63833e-13 2.37051e-13 1.78011e-11 7.20448e-12 2.05782e-13 1.42156e-11 7.82713e-14 1.60761e-11
1500 2.05303e-10 1.98365e-10 5.33522e-10 9.70372e-12 8.80306e-15 2.19947e-13 1.17232e-13 0 3.92143e-17 7.84086e-14 1.6675e-16 3.55271e-14 1.38109e-13 6.7676e-14 2.24443e-12 4.47586e-12 1.43812e-11 4.80549e-12 1.93476e-10 5.22602e-14 7.40916e-10 2.30699e-12 4.54583e-10 2.81025e-14 2.807e-14 2.05388e-13 3.2877e-16 1.39844e-19 2.71051e-17 2.04574e-17 1.36409e-15 2.17667e-13 2.00164e-13 2.10441e-12 1.35058e-11 7.70555e-12 1.63382e-13 3.53104e-11 1.17606e-15 3.99191e-11
1600 2.37646e-12 4.13418e-13 1.92021e-09 1.28065e-12 1.91574e-14 2.0891e-13 4.44433e-14 0 2.40238e-18 6.50677e-14 3.84241e-16 4.54747e-13 2.94433e-14 3.07954e-14 8.60753e-09 1.12322e-11 1.35054e-11 6.39025e-07 2.55756e-12 1.38483e-14 1.8571e-09 8.60749e-09 8.45691e-09 1.91687e-14 1.91856e-14 2.67303e-15 6.55249e-16 9.61617e-19 3.51422e-15 3.41493e-15 2.67909e-15 1.36837e-15 3.13455e-16 8.22184e-13 1.09945e-12 3.05652e-09 5.89016e-14 1.27345e-11 1.859e-15 1.44085e-11
1700 1.487e-11 7.97476e-13 3.82164e-09 3.27556e-12 1.13058e-14 2.85097e-13 1.44481e-13 0 1.68423e-16 3.30307e-14 4.07768e-16 8.71836e-12 6.35096e-14 4.07975e-14 1.26575e-08 3.5085e-12 7.29629e-12 9.90299e-07 1.3708e-11 7.50732e-16 3.69723e-09 1.26575e-08 1.33253e-08 2.25904e-14 2.25522e-14 9.00193e-17 1.2582e-17 1.62513e-19 0 8.72882e-21 3.87791e-16 1.65287e-16 4.62552e-17 6.14822e-13 2.43277e-10 1.71323e-12 9.13252e-14 1.68247e-12 1.46584e-15 1.9114e-12
1800 3.84749e-10 3.46749e-10 3.20925e-08 8.84076e-11 3.38956e-14 6.92417e-13 3.08391e-12 9.9476e-14 6.24828e-17 3.01543e-12 3.87602e-16 1.59872e-13 3.41186e-11 3.57874e-14 1.41767e-10 1.02795e-11 1.6068e-11 2.18714e-12 3.31007e-10 2.52929e-14 3.13029e-08 1.41657e-10 2.71701e-08 1.95963e-14 1.95669e-14 1.83731e-15 3.52326e-16 4.38991e-19 2.3216e-15 2.27001e-15 1.6538e-15 8.376e-16 1.98711e-16 1.44389e-13 3.36522e-10 1.41582e-09 6.28039e-14 9.42306e-12 1.4215e-14 1.06778e-11
1900 1.75956e-13 3.92265e-13 2.42861e-14 4.95558e-11 2.9993e-14 2.27204e-13 1.84886e-12 7.63833e-14 9.47638e-17 1.88677e-12 2.6357e-16 1.93268e-12 1.30835e-11 8.84525e-14 1.77636e-14 6.84622e-12 2.74902e-11 9.30767e-12 1.40968e-11 1.30098e-14 1.44427e-11 0 1.06026e-14 4.47255e-14 4.47298e-14 2.05901e-12 1.46204e-15 5.8098e-19 3.35452e-16 3.15196e-16 5.28689e-15 2.17491e-12 2.0109e-12 2.44065e-13 6.84872e-11 5.56886e-09 7.14462e-14 1.56774e-11 1.66796e-14 1.77283e-11
2000 6.77751e-11 4.88888e-11 1.1773e-11 2.99841e-11 4.05796e-14 9.18885e-13 3.18229e-13 1.86517e-13 7.02092e-18 1.01902e-13 3.07263e-16 4.5759e-12 8.64815e-12 5.51491e-14 1.38913e-09 2.78458e-12 1.20435e-11 2.78783e-06 6.64556e-11 2.7679e-16 7.19838e-11 1.38837e-09 1.12534e-09 2.02182e-14 2.02244e-14 6.74838e-13 1.50228e-15 6.49853e-19 7.36173e-17 6.61191e-17 5.70044e-15 7.14819e-13 6.58848e-13 5.19482e-13 1.07073e-11 4.66341e-12 1.59955e-14 4.20004e-15 2.71448e-14 1.1072e-14
