g 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40
1100 3.50218e-06 8.44725e-06 0.00010739 2.86264e-05 9.25122e-06 8.28339e-05 3.638e-05 0 6.08748e-05 7.80478e-06 7.79399e-07 2.67481e-07 0.000250316 0.000629661 5.17111e-06 0.000172807 6.32447e-05 0.000871545 2.42745e-05 2.78821e-06 1.3887e-05 1.5519e-05 3.67821e-05 2.728e-06 0.00114062 0.000177666 0.000836557 0.000258811 3.67212e-06 0.0017762 1.92527e-05 4.21421e-05 0.00099018 5.33464e-05 1.1775e-05 0.00021266 4.44237e-06 0.000195216 2.0442e-06 7.69378e-05
1200 8.46745e-06 5.12138e-06 2.51891e-05 1.9503e-05 2.56754e-06 0.000133141 0.000382332 0 3.2295e-05 0.000150297 5.39157e-07 5.42708e-07 4.96854e-05 0.000333475 2.41825e-05 8.53217e-05 3.53752e-05 8.86014e-07 1.84342e-05 6.18828e-05 3.55501e-06 7.25332e-05 8.03801e-05 2.02448e-06 0.000846792 3.74652e-06 0.00111732 0.000101853 6.78694e-07 0.000322289 2.58078e-05 1.73886e-06 1.82689e-05 7.63839e-05 2.45924e-06 1.82884e-05 3.88239e-06 6.09021e-06 2.04305e-06 2.78396e-06
1300 1.77327e-05 2.31298e-05 0.000661266 1.00573e-05 5.58743e-06 6.91805e-05 0.000737661 0 7.37109e-05 0.000290571 1.07775e-06 0 3.33606e-05 0.000287891 9.90194e-06 4.44037e-05 2.36946e-05 0.000345703 1.11525e-05 1.28699e-05 8.41956e-05 2.96991e-05 0.000203135 1.68911e-06 0.000706402 7.79624e-05 0.0022519 0.000199055 9.22857e-07 0.000446705 5.16923e-05 1.88153e-05 0.0004359 5.23474e-05 6.3916e-06 0.000260779 2.83948e-05 4.10595e-05 4.40094e-06 1.6215e-05
1400 0.00017939 0.000456506 7.39858e-05 2.50067e-05 4.42144e-05 8.67909e-05 3.93589e-05 0 4.91513e-05 7.30401e-06 5.24049e-07 8.25465e-08 7.38579e-05 0.00092632 7.11253e-05 0.000141004 6.74552e-05 1.58568e-06 0.000235389 5.43673e-05 2.40184e-05 0.000213331 0.000236497 2.75582e-06 0.0011511 0.000141107 0.00081462 7.97153e-05 7.37317e-07 0.00035813 1.91235e-05 3.36879e-05 0.000788603 4.45062e-05 4.22241e-06 3.19576e-05 3.23902e-05 0.0007985 1.81523e-05 0.000314624
1500 7.65704e-05 0.000194959 0.000125767 2.08739e-05 1.49598e-05 4.84314e-05 2.23137e-05 0 3.35334e-05 7.09087e-06 5.15409e-07 4.12732e-08 6.12962e-05 0.000541205 7.26818e-07 0.000250604 5.76646e-05 1.30461e-06 0.000101662 9.37368e-05 1.91998e-05 2.21013e-06 3.83613e-05 2.56548e-06 0.00107138 9.26944e-05 0.000773608 6.51559e-05 2.17423e-07 9.23505e-05 1.82465e-05 2.20985e-05 0.000518049 0.000132607 3.67787e-06 3.30502e-05 2.8861e-05 0.00125837 2.22508e-06 0.000495799
1600 8.2381e-06 8.90038e-06 0.000238599 7.58315e-06 2.20688e-05 4.72007e-05 1.37389e-05 0 8.29995e-06 6.45952e-06 7.82385e-07 1.47664e-07 2.83019e-05 0.000365091 4.50104e-05 0.000396998 5.58811e-05 0.000475748 1.16885e-05 4.8253e-05 3.03969e-05 0.000135 0.000165461 2.11881e-06 0.000885805 1.05747e-05 0.00109216 0.000170858 2.47568e-06 0.00119319 2.55713e-05 1.75214e-06 2.05002e-05 8.28867e-05 1.04936e-06 0.000658228 1.7329e-05 0.000755719 2.79751e-06 0.000297866
1700 2.06071e-05 1.23616e-05 0.000336608 1.21277e-05 1.69535e-05 5.51395e-05 2.47716e-05 0 6.94952e-05 4.60231e-06 8.05982e-07 6.46555e-07 4.15663e-05 0.000420218 5.45815e-05 0.000221876 4.10737e-05 0.000592225 2.70603e-05 1.12349e-05 4.28893e-05 0.000163709 0.000207694 2.30017e-06 0.000960331 1.94058e-06 0.000151344 7.02389e-05 0 1.90763e-06 9.72877e-06 6.08955e-07 7.87501e-06 7.16758e-05 1.56094e-05 1.5584e-05 2.15777e-05 0.000274701 2.48413e-06 0.000108488
1800 0.000104822 0.000257763 0.000975459 6.30055e-05 2.93549e-05 8.59312e-05 0.000114446 1.01283e-07 4.23287e-05 4.39735e-05 7.85799e-07 8.75537e-08 0.000963452 0.000393582 5.77645e-06 0.000379779 6.0953e-05 8.80137e-07 0.000132973 6.52116e-05 0.000124796 1.73187e-05 0.000296577 2.14232e-06 0.00089456 8.7671e-06 0.000800892 0.000115441 2.01221e-06 0.000972787 2.00909e-05 1.37083e-06 1.63223e-05 3.47348e-05 1.83588e-05 0.000448006 1.78939e-05 0.000650112 7.73578e-06 0.000256415
1900 2.24163e-06 8.6697e-06 8.48538e-07 4.71717e-05 2.76133e-05 4.92238e-05 8.86135e-05 8.87518e-08 5.21288e-05 3.47838e-05 6.47987e-07 3.04416e-07 0.000596613 0.000618757 6.46604e-08 0.000309938 7.97263e-05 1.81565e-06 2.74413e-05 4.67696e-05 2.68062e-06 0 1.85265e-07 3.23649e-06 0.00135244 0.000293488 0.00163145 0.000132805 7.64883e-07 0.000362504 3.59218e-05 6.98535e-05 0.00164189 4.51599e-05 8.28212e-06 0.000888495 1.90854e-05 0.000838511 8.37959e-06 0.000330404
2000 4.39943e-05 9.67877e-05 1.86825e-05 3.66928e-05 3.2119e-05 9.8991e-05 3.67637e-05 1.38688e-07 1.4189e-05 8.08368e-06 6.99638e-07 4.6841e-07 0.00048504 0.000488571 1.80819e-05 0.000197664 5.27701e-05 0.00099372 5.95813e-05 6.82185e-06 5.98451e-06 5.42188e-05 6.03571e-05 2.17605e-06 0.000909469 0.000168021 0.00165384 0.000140457 3.58319e-07 0.000166028 3.73003e-05 4.00465e-05 0.000939838 6.58847e-05 3.27474e-06 2.57113e-05 9.03048e-06 1.37249e-05 1.06899e-05 8.25695e-06
