g 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40
1400 0.187129 0.0722403 0.183657 0.149233 0.00627177 0.00968348 0.0153445 3.11403 0.000186743 0.0394896 0.0250543 4.5668 0.00606287 0.000480641 2.06124 0.00844206 0.065764 1.68031 0.136823 0.00243879 1.41771 0.687227 0.555798 0.0653436 0.000156383 0.00488916 2.34375e-05 5.73941e-06 0.0239453 4.89763e-05 0.00202414 0.0211122 0.00086362 0.0109396 0.999225 0.08399 0.0140052 0.0047218 0.0154123 0.0127438
1500 0.187127 0.0722419 0.183658 0.149233 0.00627178 0.00968349 0.0153444 3.11403 0.000186743 0.0394896 0.0250543 4.5668 0.00606286 0.000480679 2.06123 0.0084421 0.0657641 1.68031 0.136821 0.00243879 1.41771 0.687234 0.555794 0.0653436 0.000156379 0.00488916 2.34383e-05 5.73943e-06 0.0239453 4.89763e-05 0.00202414 0.0211122 0.000863619 0.0109395 0.999225 0.08399 0.0140052 0.00472217 0.0154123 0.0127434
1600 0.187128 0.0722413 0.183656 0.149233 0.00627177 0.00968349 0.0153444 3.11403 0.000186743 0.0394896 0.0250543 4.5668 0.00606287 0.000480665 2.06123 0.00844196 0.065764 1.68028 0.136822 0.00243879 1.41771 0.687235 0.55579 0.0653436 0.000156369 0.00488917 2.34378e-05 5.7394e-06 0.0239453 4.89756e-05 0.00202414 0.0211122 0.000863633 0.0109395 0.999225 0.0839918 0.0140052 0.00472205 0.0154123 0.0127435
1700 0.187128 0.0722413 0.183654 0.149233 0.00627178 0.00968352 0.0153444 3.11403 0.000186744 0.0394896 0.0250543 4.5668 0.00606287 0.000480664 2.06124 0.0084421 0.0657639 1.68034 0.136822 0.00243878 1.41772 0.68723 0.555793 0.0653436 0.000156377 0.00488917 2.34375e-05 5.7394e-06 0.0239453 4.89762e-05 0.00202414 0.0211122 0.000863633 0.0109396 0.999225 0.08399 0.0140052 0.00472186 0.0154124 0.0127437
1800 0.187128 0.0722416 0.183651 0.149233 0.00627179 0.00968351 0.0153444 3.11403 0.000186743 0.0394896 0.0250543 4.5668 0.0060627 0.000480651 2.06123 0.00844219 0.0657637 1.68031 0.136821 0.00243879 1.41772 0.687233 0.555787 0.0653436 0.000156369 0.00488917 2.34368e-05 5.73941e-06 0.0239453 4.89775e-05 0.00202414 0.0211122 0.000863632 0.0109396 0.999224 0.0839886 0.0140052 0.0047218 0.0154124 0.0127437
1900 0.187128 0.0722413 0.183657 0.149233 0.0062718 0.00968351 0.0153445 3.11403 0.000186743 0.0394895 0.0250543 4.5668 0.00606276 0.000480656 2.06123 0.00844211 0.0657639 1.68031 0.136822 0.00243878 1.41771 0.687233 0.555793 0.0653436 0.00015638 0.00488922 2.34372e-05 5.7394e-06 0.0239453 4.89754e-05 0.00202415 0.0211122 0.00086368 0.0109396 0.999225 0.0839901 0.0140052 0.00472202 0.0154124 0.0127435
2000 0.187128 0.0722411 0.183657 0.149233 0.0062718 0.00968355 0.0153444 3.11403 0.000186743 0.0394896 0.0250543 4.5668 0.00606295 0.000480663 2.06123 0.00844212 0.0657641 1.68023 0.136822 0.00243878 1.41771 0.687232 0.555794 0.0653436 0.000156369 0.00488919 2.34359e-05 5.73938e-06 0.0239453 4.89759e-05 0.00202415 0.0211122 0.000863653 0.0109396 0.999225 0.0839899 0.0140052 0.0047219 0.0154124 0.0127436
2100 0.187127 0.0722417 0.183656 0.149233 0.00627181 0.0096835 0.0153446 3.11403 0.000186743 0.0394894 0.0250543 4.5668 0.00606287 0.000480661 2.06123 0.0084421 0.065764 1.68031 0.136821 0.00243877 1.41772 0.687233 0.555791 0.0653436 0.000156373 0.00488915 2.34386e-05 5.73941e-06 0.0239453 4.8977e-05 0.00202414 0.0211122 0.000863612 0.0109396 0.999225 0.08399 0.0140052 0.00472196 0.0154124 0.0127435
2200 0.187128 0.0722413 0.183657 0.149233 0.00627182 0.00968351 0.0153444 3.11403 0.000186743 0.0394895 0.0250543 4.5668 0.00606283 0.000480661 2.06123 0.00844207 0.0657639 1.68031 0.136822 0.00243878 1.41771 0.687233 0.555793 0.0653436 0.000156367 0.00488917 2.34377e-05 5.73942e-06 0.0239453 4.89762e-05 0.00202415 0.0211122 0.000863629 0.0109396 0.999225 0.0839902 0.0140051 0.00472188 0.0154124 0.0127436
2300 0.187127 0.0722417 0.183657 0.149233 0.00627183 0.00968351 0.0153444 3.11403 0.000186744 0.0394895 0.0250543 4.5668 0.00606289 0.000480648 2.06123 0.00844193 0.0657639 1.68029 0.136822 0.00243878 1.41771 0.687235 0.555791 0.0653436 0.000156364 0.00488917 2.34363e-05 5.73939e-06 0.0239453 4.89759e-05 0.00202415 0.0211122 0.000863631 0.0109396 0.999225 0.08399 0.0140051 0.00472187 0.0154124 0.0127436
